TITLE,Added,Native 4K,Upscaled 4K,HDR,Dolby Vision,Audio
12 Monkeys (1995),May 2022,Native 4K,,HDR10,Dolby Vision,5.1 DTS-HD-MA
1776 (1972),,Native 4K,,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
13 Hours: The Secret Soldiers of Benghazi (2016),,,Upscaled 4K,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
1917 (2019),,Native 4K,,HDR,Dolby Vision,"Dolby Atmos, True-HD 7.1"
2 Fast 2 Furious (2003),,Native 4K,,HDR10,,"DTS: X, 7.1 DTS-HD MA"
2001: ​A Space Odyssey,,Native 4K,,HDR,Dolby Vision,5.1 DTS-HD MA
2012 (2009),,,Upscaled 4K,HDR10,,"Dolby Atmos, True-HD 7.1"
21 Jump Street (2012),,,Upscaled 4K,HDR10,,"Dolby Atmos, True-HD 7.1"
22 Jump Street (2014),,,Upscaled 4K,HDR,,5.1 DTS-HD MA
3 from Hell (2019),,,Upscaled 4K,HDR10,,"Dolby Atmos, True-HD 7.1"
3:10 To Yuma (2007),,,Upscaled 4K,HDR,,"DTS: X, 7.1 DTS-HD MA"
300 (2007),,,Upscaled 4K,HDR10,,"Dolby Atmos, True-HD 7.1"
47 Ronin (2013),,,Upscaled 4K,HDR10,,"DTS: X, 7.1 DTS-HD MA"
48 Hrs. (1982),Aug 2022,Native 4K,,HDR10,,Dolby True-HD 5.1
A Bad Moms Christmas,,,Upscaled 4K,HDR,,7.1 DTS
A Beautiful Day in the Neighborhood (2019),,Native 4K,,HDR,,"DTS: X, 7.1 DTS-HD MA"
A fistful of Dollars (1964),May 2022,Native 4K,,,,5.1 DTS-HD-MA
A Few Good Men,,Native 4K,,HDR,,"Dolby Atmos, True-HD 7.1"
A Hard Day's Night (1964),May 2022,,,HDR10,Dolby Vision,5.1 DTS-HD-MA
A League of Their Own (1992),,Native 4K,,HDR10,,"Dolby Atmos, True-HD 7.1"
A Perfect Planet (2021),,Native 4K,,HDR10,,"Dolby Atmos, True-HD 7.1"
A Quiet Place (2018),,,Upscaled 4K,HDR,Dolby Vision,"Dolby Atmos, True-HD 7.1"
A Quiet Place Part II (2020),Aug 2021,,Upscaled 4K,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
A simple Favour,,,Upscaled 4K,HDR,Dolby Vision,True-HD 7.1 (No Atmos)
A Star Was Born,,,Upscaled 4K,HDR,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Ad Astra (2019),Feb 2022,,Upscaled 4K,HDR10,,"Dolby Atmos, True-HD 7.1"
Abominable (2019),,,Upscaled 4K,HDR10,,"Dolby Atmos, True-HD 7.1"
About Last Night (2014),,Native 4K,,,,5.1 Surround
Across The Universe,,Native 4K,,HDR,,"Dolby Atmos, True-HD 7.1"
After Earth,,Native 4K,,HDR,,5.1 DTS-HD-MA
Aircraft Carrier: Guardian of the Seas,,Native 4K,,HDR,,"Dolby Atmos, True-HD 7.1"
Akira (1988),,Native 4K,,HDR10,,Dolby True-HD 5.1
Aladdin (2019),,,Upscaled 4K,HDR & HDR10+,,"Dolby Atmos, True-HD 7.1"
Alien (1979),May 2022,Native 4K,,HDR10+,,5.1 DTS-HD-MA
Alien: Covenant (2017),,,Upscaled 4K,HDR,,"Dolby Atmos, True-HD 7.1"
Alita: Battle Angel,,,Upscaled 4K,HDR & HDR10+,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Allegiant,,Native 4K,,HDR,,"Dolby Atmos, True-HD 7.1"
Allied,,Native 4K,,HDR,,5.1 DTS-HD-MA
Alligator (1980),Jan 2022,Native 4K,,HDR & HDR10+,Dolby Vision,2.0 DTS-HD-MA
Amost Famous (2000),May 2022,Native 4K,,HDR,Dolby Vision,5.1 DTS-HD-MA
Aloha,,Native 4K,,,,5.1 DTS-HD-MA
Altered Carbon,,Native 4K,,HDR,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Ambulance (2022),May 2022,Native 4K,,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
American Assassin,,,Upscaled 4K,HDR,,"Dolby Atmos, True-HD 7.1"
American Gangster,,Native 4K,,HDR10+,,"DTS:X, 7.1 DTS-HD MA"
American Hustle,,Native 4K,,,,5.1 DTS-HD-MA
"American Made (Shot digitally at
2.8K, restricted to 2K)",,,Upscaled 4K,HDR,,"DTS:X, 7.1 DTS-HD MA"
American Psycho,,Native 4K,,HDR,Dolby Vision,"Dolby Atmos, True-HD 7.1"
American Sniper,,,Upscaled 4K,HDR,,
American Underdog (2021),May 2022,Native 4K,,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
An American Werewolf in London (1981),May 2022,Native 4K,,HDR10,Dolby Vision,5.1 DTS-HD-MA
Angel Has Fallen (2019),,Native 4K,,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Angels and Demons,,Native 4K,,HDR,,Dolby Atmos True-HD
Animal House (1978),,Native 4K,,HDR10,,"DTS:-X, DTS-HD MA"
Anna (2019),,,Upscaled 4K,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Annabelle,,,Upscaled 4K,,,
Annabelle: Creation,,,Upscaled 4K,HDR,,
Annie (2014),,Native 4K,,,,
Annihilation (2018),,Native 4K,,HDR,Dolby Vision,Dolby Atmos True-HD
Ant-Man (2015),,,Upscaled 4K,HDR10,,"Dolby Atmos, True-HD 7.1"
Ant-Man and the Wasp (2018),,,Upscaled 4K,HDR,,Dolby Atmos True-HD
Antebellum (2020),,,Upscaled 4K,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Apocalypse Now (1979) Final Cut,,Native 4K,,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Apollo 13,,Native 4K,,HDR,,7.1 DTS HD-MA
Aquaman,,,Upscaled 4K,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Aqua Teen Forever: Plantasm (2022),Aug 2022,,Upscaled 4K,HDR10,,
Argo,,,Upscaled 4K,HDR,,
Army of Darkness (1992),Aug 2022,Native 4K,,HDR10,,5.1 DTS-HD-MA
Arrival,,,Upscaled 4K,HDR,,7.1 DTS HD-MA
Assassin’s Creed,,Native 4K,,HDR,,"Dolby Atmos, True-HD 7.1"
Atomic Blonde,,,Upscaled 4K,HDR,,7.1 DTS HD-MA
Avengers Assemble,,,Upscaled 4K,HDR,,"Dolby Atmos, True-HD 7.1"
Avengers: Age of Ultron,,,Upscaled 4K,HDR,,"Dolby Atmos, True-HD 7.1"
Avengers: Endgame (2019),,,Upscaled 4K,HDR10,,"Dolby Atmos, True-HD 7.1"
Avengers: Infinity War,,,Upscaled 4K,HDR,,"Dolby Atmos, True-HD 7.1"
Baby Driver,,,Upscaled 4K,HDR,,"Dolby Atmos, True-HD 7.1"
Back to the Future (1985),,Native 4K,,HDR10+,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Back to the Future Part II (1989),,Native 4K,,HDR10+,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Back to the Future Part III (1990),,Native 4K,,HDR10+,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Backdraft (1991),,Native 4K,,HDR,,"DTS:-X, DTS-HD MA"
Bad Boys (1995),,Native 4K,,HDR,,"Dolby Atmos, True-HD 7.1"
Bad Boys 2 (2003),,Native 4K,,HDR,,"Dolby Atmos, True-HD 7.1"
Bad Boys for Life (2019),,Native 4K,,HDR10,,"DTS:-X, DTS-HD MA 7.1"
Bad Santa 2,,Native 4K,,HDR,,5.1
Bad Teacher,,Native 4K,,,,
Bad Times at the El Royale,,Native 4K,,HDR,,"Dolby Atmos, True-HD 7.1"
Batman (1989),,Native 4K,,HDR,,"Dolby Atmos, True-HD 7.1"
Batman Returns (1992),,Native 4K,,HDR,,"Dolby Atmos, True-HD 7.1"
Batman Forever (1995),,Native 4K,,HDR10,,"Dolby Atmos, True-HD 7.1"
Batman & Robin (1997),,Native 4K,,HDR,,"Dolby Atmos, True-HD 7.1"
Batman Begins (2005),,Native 4K,,HDR,,5.1 DTS-HD-MA
